title,price,location,bedrooms,bathrooms,surface_total,surface_useful,url,description
Remodelado: Museo Ralli / Candelaria / Lo Castillo,14900.0,"Remodelado: Museo Ralli / Candelaria Goyenechea, Parque Bicentenario, Vitacura",3.0,3.0,,139.0,https://portalinmobiliario.com/MLC-3147642476-remodelado-museo-ralli-candelaria-lo-castillo-_JM#polycard_client=search-nordic&search_layout=grid&position=22&type=item&tracking_id=049b7d07-4140-499c-b68b-c331186b590c,
Departamento Dúplex Con Jardín En Candelaria,15500.0,"Parque Bicentenario, Vitacura",1.0,2.0,,91.0,https://portalinmobiliario.com/MLC-1683564281-departamento-duplex-con-jardin-en-candelaria-_JM#polycard_client=search-nordic&search_layout=grid&position=23&type=item&tracking_id=049b7d07-4140-499c-b68b-c331186b590c,
Penthouse Dúplex En Vitacura 5d5b Terraza Panorámica,15500.0,"Escrivá De Balaguer- Del Mirador | Dpto. Dúplex Penthouse 4D4B Más Servicios-Quincho-Terrazas | Vitacura | Walker And Partners, La Llavería, Vitacura",5.0,5.0,,230.0,https://portalinmobiliario.com/MLC-1632570365-penthouse-duplex-en-vitacura-5d5b-terraza-panoramica-_JM#polycard_client=search-nordic&search_layout=grid&position=24&type=item&tracking_id=049b7d07-4140-499c-b68b-c331186b590c,
Moderno: Mar Jónico / Sport Francés,12900.0,"Vista Despejada: Mar Jónico/Sport Francés, Estadio Croata, Vitacura",3.0,3.0,,107.0,https://portalinmobiliario.com/MLC-3205537858-moderno-mar-jonico-sport-frances-_JM#polycard_client=search-nordic&search_layout=grid&position=25&type=item&tracking_id=049b7d07-4140-499c-b68b-c331186b590c,
Las Hualtatas / Luis Carrera,12900.0,"Luis Carrera / Las Hualtatas, Estadio Manquehue, Vitacura",3.0,3.0,,139.0,https://portalinmobiliario.com/MLC-2855471740-las-hualtatas-luis-carrera-_JM#polycard_client=search-nordic&search_layout=grid&position=26&type=item&tracking_id=049b7d07-4140-499c-b68b-c331186b590c,
Departamento Full Remodelado En Venta,9900.0,"La Llavería, Vitacura",3.0,2.0,,120.0,https://portalinmobiliario.com/MLC-1698249167-departamento-full-remodelado-en-venta-_JM#polycard_client=search-nordic&search_layout=grid&position=27&type=item&tracking_id=049b7d07-4140-499c-b68b-c331186b590c,
Departamento Remodelado En Sector Alonso De Córdova,12500.0,"Parque Bicentenario, Vitacura",2.0,3.0,,140.0,https://portalinmobiliario.com/MLC-1703116631-departamento-remodelado-en-sector-alonso-de-cordova-_JM#polycard_client=search-nordic&search_layout=grid&position=28&type=item&tracking_id=049b7d07-4140-499c-b68b-c331186b590c,
Departamento En Altura Con Vista Despejada A Club De Golf,17900.0,"Parque Bicentenario, Vitacura",3.0,3.0,,266.0,https://portalinmobiliario.com/MLC-1688412173-departamento-en-altura-con-vista-despejada-a-club-de-golf-_JM#polycard_client=search-nordic&search_layout=grid&position=29&type=item&tracking_id=049b7d07-4140-499c-b68b-c331186b590c,
Departamento En Venta En Lo Curro Con Vista A Santiago,17500.0,"Santa Teresa De Los Andes, Lo Curro, Vitacura",2.0,3.0,,180.0,https://portalinmobiliario.com/MLC-1709484717-departamento-en-venta-en-lo-curro-con-vista-a-santiago-_JM#polycard_client=search-nordic&search_layout=grid&position=30&type=item&tracking_id=049b7d07-4140-499c-b68b-c331186b590c,
Departamento En Venta De 3 Dorm. En Vitacura,18500.0,"Las Nieves/Navidad, Parque Bicentenario, Vitacura",3.0,3.0,,215.0,https://portalinmobiliario.com/MLC-3205750484-departamento-en-venta-de-3-dorm-en-vitacura-_JM#polycard_client=search-nordic&search_layout=grid&position=31&type=item&tracking_id=049b7d07-4140-499c-b68b-c331186b590c,
